,Region,Ukrainian Name,Russian Name,Longitude_WGS84,Latitude_WGS84,Freq,Date
215,Одеська,ОДЕСА,Одесса,30.73065,46.46891,15.0,2022-03-01
221,Миколаївська,ПЕРВОМАЙСЬК,Первомайск,30.84618,48.04956,1.0,2022-03-01
232,Полтавська,ПОЛТАВА,Полтава,34.53741,49.57546,3.0,2022-03-01
259,Луганська,СВАТОВЕ,Сватово,38.15054,49.40843,4.0,2022-03-01
263,м Севастополь,СЕВАСТОПОЛЬ,Севастополь,33.51482,44.58938,3.0,2022-03-01
267,Крим,СІМФЕРОПОЛЬ,Симферополь,34.11014,44.95829,20.0,2022-03-01
279,Луганська,СТАРОБІЛЬСЬК,Старобельск,38.93074,49.2917,3.0,2022-03-01
288,Сумська,СУМИ,Сумы,34.79851,50.90773,5.0,2022-03-01
290,Луганська,ЩАСТЯ,Счастье,39.24351,48.73621,5.0,2022-03-01
298,Сумська,ТРОСТЯНЕЦЬ,Тростянец,34.96588,50.48647,4.0,2022-03-01
312,Харківська,ХАРКІВ,Харьков,36.22982,49.98934,274.0,2022-03-01
313,Херсонська,ХЕРСОН,Херсон,32.59231,46.65481,137.0,2022-03-01
326,Чернігівська,ЧЕРНІГІВ,Чернигов,31.29009,51.49807,31.0,2022-03-01
331,Харківська,ЧУГУЇВ,Чугуев,36.68404,49.84308,1.0,2022-03-01
339,Запорізька,ЕНЕРГОДАР,Энергодар,34.655,47.49922,2.0,2022-03-01
341,Миколаївська,ЮЖНОУКРАЇНСЬК,Южноукраинск,31.17045,47.8264,1.0,2022-03-01
344,Донецька,ЯСИНУВАТА,Ясиноватая,37.88584,48.11565,2.0,2022-03-01
13,Сумська,ОХТИРКА,Ахтырка,34.89773,50.30931,10.0,2022-02-28
28,Запорізька,БЕРДЯНСЬК,Бердянск,36.7987,46.76365,81.0,2022-02-28
57,Вінницька,ВІННИЦЯ,Винница,28.48463,49.23523,2.0,2022-02-28
61,Донецька,ВОЛНОВАХА,Волноваха,37.50234,47.59432,14.0,2022-02-28
70,Херсонська,ГЕНІЧЕСЬК,Геническ,34.79061,46.16781,1.0,2022-02-28
77,Донецька,ГОРЛІВКА,Горловка,38.04308,48.3534,32.0,2022-02-28
91,Запорізька,ДНІПРОРУДНЕ,Днепрорудное,34.99849,47.38506,1.0,2022-02-28
93,Донецька,ДОКУЧАЄВСЬК,Докучаевск,37.67589,47.78229,6.0,2022-02-28
95,Донецька,ДОНЕЦЬК,Донецк,37.86764,47.96648,98.0,2022-02-28
105,Житомирська,ЖИТОМИР,Житомир,28.65749,50.27447,12.0,2022-02-28
116,Луганська,ЗОЛОТЕ,Золотое,38.51875,48.70205,1.0,2022-02-28
120,Донецька,ЗУГРЕС,Зугрэс,38.27808,48.01008,3.0,2022-02-28
121,Івано-Франківська,ІВАНО-ФРАНКІВСЬК,Ивано-Франковск,24.70602,48.92074,3.0,2022-02-28
123,Харківська,ІЗЮМ,Изюм,37.26768,49.19128,10.0,2022-02-28
137,м.Київ,КИЇВ,Киев,30.5595,50.44029,607.0,2022-02-28
150,Чернігівська,КОРЮКІВКА,Корюковка,32.2514,51.77462,1.0,2022-02-28
153,Донецька,КРАМАТОРСЬК,Краматорск,37.56603,48.72814,5.0,2022-02-28
158,Луганська,КРЕМІННА,Кременная,38.22521,49.05361,2.0,2022-02-28
159,Полтавська,КРЕМЕНЧУК,Кременчуг,33.42899,49.08949,1.0,2022-02-28
169,Луганська,ЛУГАНСЬК,Луганск,39.32041,48.55751,10.0,2022-02-28
172,Львівська,ЛЬВІВ,Львов,24.01783,49.84308,29.0,2022-02-28
179,Донецька,МАРІУПОЛЬ,Мариуполь,37.56449,47.10457,154.0,2022-02-28
181,Запорізька,МЕЛІТОПОЛЬ,Мелитополь,35.37563,46.84673,14.0,2022-02-28
194,Чернігівська,НІЖИН,Нежин,31.88799,51.04866,3.0,2022-02-28
197,Миколаївська,МИКОЛАЇВ,Николаев,32.04574,46.95883,10.0,2022-02-28
202,Донецька,НОВОАЗОВСЬК,Новоазовск,38.08239,47.11367,3.0,2022-02-28
215,Одеська,ОДЕСА,Одесса,30.73065,46.46891,29.0,2022-02-28
221,Миколаївська,ПЕРВОМАЙСЬК,Первомайск,30.84618,48.04956,1.0,2022-02-28
228,Полтавська,ПИРЯТИН,Пирятин,32.50957,50.24443,1.0,2022-02-28
232,Полтавська,ПОЛТАВА,Полтава,34.53741,49.57546,1.0,2022-02-28
247,Луганська,РОВЕНЬКИ,Ровеньки,39.36727,48.0899,2.0,2022-02-28
263,м Севастополь,СЕВАСТОПОЛЬ,Севастополь,33.51482,44.58938,2.0,2022-02-28
279,Луганська,СТАРОБІЛЬСЬК,Старобельск,38.93074,49.2917,1.0,2022-02-28
288,Сумська,СУМИ,Сумы,34.79851,50.90773,1.0,2022-02-28
290,Луганська,ЩАСТЯ,Счастье,39.24351,48.73621,19.0,2022-02-28
298,Сумська,ТРОСТЯНЕЦЬ,Тростянец,34.96588,50.48647,7.0,2022-02-28
309,Черкаська,УМАНЬ,Умань,30.19884,48.72454,2.0,2022-02-28
312,Харківська,ХАРКІВ,Харьков,36.22982,49.98934,255.0,2022-02-28
313,Херсонська,ХЕРСОН,Херсон,32.59231,46.65481,41.0,2022-02-28
315,Хмельницька,ХМЕЛЬНИЦЬКИЙ,Хмельницкий,26.97435,49.4165,1.0,2022-02-28
325,Черкаська,ЧЕРКАСИ,Черкассы,32.02223,49.46594,2.0,2022-02-28
326,Чернігівська,ЧЕРНІГІВ,Чернигов,31.29009,51.49807,56.0,2022-02-28
327,Чернівецька,ЧЕРНІВЦІ,Черновцы,25.937,48.29487,1.0,2022-02-28
331,Харківська,ЧУГУЇВ,Чугуев,36.68404,49.84308,5.0,2022-02-28
339,Запорізька,ЕНЕРГОДАР,Энергодар,34.655,47.49922,32.0,2022-02-28
342,Крим,ЯЛТА,Ялта,34.15426,44.49291,3.0,2022-02-28
0,Донецька,АВДІЇВКА,Авдеевка,37.72602,48.15445,1.0,2022-02-27
12,Одеська,АРЦИЗ,Арциз,29.42637,45.98654,3.0,2022-02-27
14,Харківська,БАЛАКЛІЯ,Балаклея,36.84608,49.45495,1.0,2022-02-27
28,Запорізька,БЕРДЯНСЬК,Бердянск,36.7987,46.76365,87.0,2022-02-27
57,Вінницька,ВІННИЦЯ,Винница,28.48463,49.23523,5.0,2022-02-27
61,Донецька,ВОЛНОВАХА,Волноваха,37.50234,47.59432,25.0,2022-02-27
70,Херсонська,ГЕНІЧЕСЬК,Геническ,34.79061,46.16781,15.0,2022-02-27
77,Донецька,ГОРЛІВКА,Горловка,38.04308,48.3534,10.0,2022-02-27
87,Донецька,ДЕБАЛЬЦЕВЕ,Дебальцево,38.4034,48.3213,2.0,2022-02-27
93,Донецька,ДОКУЧАЄВСЬК,Докучаевск,37.67589,47.78229,1.0,2022-02-27
95,Донецька,ДОНЕЦЬК,Донецк,37.86764,47.96648,55.0,2022-02-27
100,Донецька,ЄНАКІЄВЕ,Енакиево,38.21869,48.27204,4.0,2022-02-27
105,Житомирська,ЖИТОМИР,Житомир,28.65749,50.27447,25.0,2022-02-27
120,Донецька,ЗУГРЕС,Зугрэс,38.27808,48.01008,2.0,2022-02-27
121,Івано-Франківська,ІВАНО-ФРАНКІВСЬК,Ивано-Франковск,24.70602,48.92074,12.0,2022-02-27
122,Одеська,ІЗМАЇЛ,Измаил,28.83551,45.3471,1.0,2022-02-27
134,Херсонська,КАХОВКА,Каховка,33.50469,46.81274,3.0,2022-02-27
137,м.Київ,КИЇВ,Киев,30.5595,50.44029,793.0,2022-02-27
144,Сумська,КОНОТОП,Конотоп,33.22008,51.24779,1.0,2022-02-27
147,Житомирська,КОРОСТЕНЬ,Коростень,28.64101,50.94807,2.0,2022-02-27
150,Чернігівська,КОРЮКІВКА,Корюковка,32.2514,51.77462,2.0,2022-02-27
153,Донецька,КРАМАТОРСЬК,Краматорск,37.56603,48.72814,19.0,2022-02-27
159,Полтавська,КРЕМЕНЧУК,Кременчуг,33.42899,49.08949,2.0,2022-02-27
166,Луганська,ЛИСИЧАНСЬК,Лисичанск,38.36408,48.91165,1.0,2022-02-27
169,Луганська,ЛУГАНСЬК,Луганск,39.32041,48.55751,12.0,2022-02-27
172,Львівська,ЛЬВІВ,Львов,24.01783,49.84308,18.0,2022-02-27
175,Донецька,МАКІЇВКА,Макеевка,37.89425,48.0154,2.0,2022-02-27
179,Донецька,МАРІУПОЛЬ,Мариуполь,37.56449,47.10457,129.0,2022-02-27
180,Донецька,МАР'ЇНКА,Марьинка,37.50406,47.94176,1.0,2022-02-27
181,Запорізька,МЕЛІТОПОЛЬ,Мелитополь,35.37563,46.84673,9.0,2022-02-27
197,Миколаївська,МИКОЛАЇВ,Николаев,32.04574,46.95883,45.0,2022-02-27
215,Одеська,ОДЕСА,Одесса,30.73065,46.46891,37.0,2022-02-27
228,Полтавська,ПИРЯТИН,Пирятин,32.50957,50.24443,1.0,2022-02-27
232,Полтавська,ПОЛТАВА,Полтава,34.53741,49.57546,2.0,2022-02-27
243,Одеська,РОЗДІЛЬНА,Раздельная,30.0507,46.85377,2.0,2022-02-27
247,Луганська,РОВЕНЬКИ,Ровеньки,39.36727,48.0899,6.0,2022-02-27
248,Рівненська,РІВНЕ,Ровно,26.25235,50.61916,1.0,2022-02-27
263,м Севастополь,СЕВАСТОПОЛЬ,Севастополь,33.51482,44.58938,6.0,2022-02-27
267,Крим,СІМФЕРОПОЛЬ,Симферополь,34.11014,44.95829,1.0,2022-02-27
273,Донецька,СНІЖНЕ,Снежное,38.75152,48.04888,1.0,2022-02-27
279,Луганська,СТАРОБІЛЬСЬК,Старобельск,38.93074,49.2917,1.0,2022-02-27
288,Сумська,СУМИ,Сумы,34.79851,50.90773,8.0,2022-02-27
290,Луганська,ЩАСТЯ,Счастье,39.24351,48.73621,1.0,2022-02-27
291,Херсонська,ТАВРІЙСЬК,Таврийск,33.41028,46.74888,3.0,2022-02-27
297,Запорізька,ТОКМАК,Токмак,35.69544,47.25374,1.0,2022-02-27
298,Сумська,ТРОСТЯНЕЦЬ,Тростянец,34.96588,50.48647,1.0,2022-02-27
307,Закарпатська,УЖГОРОД,Ужгород,22.2971,48.6212,3.0,2022-02-27
309,Черкаська,УМАНЬ,Умань,30.19884,48.72454,1.0,2022-02-27
312,Харківська,ХАРКІВ,Харьков,36.22982,49.98934,393.0,2022-02-27
313,Херсонська,ХЕРСОН,Херсон,32.59231,46.65481,86.0,2022-02-27
315,Хмельницька,ХМЕЛЬНИЦЬКИЙ,Хмельницкий,26.97435,49.4165,1.0,2022-02-27
325,Черкаська,ЧЕРКАСИ,Черкассы,32.02223,49.46594,7.0,2022-02-27
326,Чернігівська,ЧЕРНІГІВ,Чернигов,31.29009,51.49807,29.0,2022-02-27
331,Харківська,ЧУГУЇВ,Чугуев,36.68404,49.84308,2.0,2022-02-27
339,Запорізька,ЕНЕРГОДАР,Энергодар,34.655,47.49922,1.0,2022-02-27
342,Крим,ЯЛТА,Ялта,34.15426,44.49291,1.0,2022-02-27
344,Донецька,ЯСИНУВАТА,Ясиноватая,37.88584,48.11565,2.0,2022-02-27
7,Донецька,АМВРОСІЇВКА,Амвросиевка,38.46399,47.78744,5.0,2022-02-26
11,Крим,АРМЯНСЬК,Армянск,33.69335,46.10258,2.0,2022-02-26
13,Сумська,ОХТИРКА,Ахтырка,34.89773,50.30931,2.0,2022-02-26
14,Харківська,БАЛАКЛІЯ,Балаклея,36.84608,49.45495,7.0,2022-02-26
28,Запорізька,БЕРДЯНСЬК,Бердянск,36.7987,46.76365,27.0,2022-02-26
44,Львівська,БРОДИ,Броды,25.16573,50.06967,7.0,2022-02-26
57,Вінницька,ВІННИЦЯ,Винница,28.48463,49.23523,7.0,2022-02-26
61,Донецька,ВОЛНОВАХА,Волноваха,37.50234,47.59432,27.0,2022-02-26
76,Херсонська,ГОЛА ПРИСТАНЬ,Голая Пристань,32.55558,46.52504,1.0,2022-02-26
77,Донецька,ГОРЛІВКА,Горловка,38.04308,48.3534,20.0,2022-02-26
95,Донецька,ДОНЕЦЬК,Донецк,37.86764,47.96648,140.0,2022-02-26
105,Житомирська,ЖИТОМИР,Житомир,28.65749,50.27447,6.0,2022-02-26
121,Івано-Франківська,ІВАНО-ФРАНКІВСЬК,Ивано-Франковск,24.70602,48.92074,1.0,2022-02-26
123,Харківська,ІЗЮМ,Изюм,37.26768,49.19128,1.0,2022-02-26
126,Донецька,ІЛОВАЙСЬК,Иловайск,38.19723,47.92631,12.0,2022-02-26
137,м.Київ,КИЇВ,Киев,30.5595,50.44029,1205.0,2022-02-26
153,Донецька,КРАМАТОРСЬК,Краматорск,37.56603,48.72814,22.0,2022-02-26
156,Крим,КРАСНОПЕРЕКОПСЬК,Красноперекопск,33.79377,45.95272,1.0,2022-02-26
166,Луганська,ЛИСИЧАНСЬК,Лисичанск,38.36408,48.91165,4.0,2022-02-26
169,Луганська,ЛУГАНСЬК,Луганск,39.32041,48.55751,11.0,2022-02-26
171,Волинська,ЛУЦЬК,Луцк,25.31216,50.74293,17.0,2022-02-26
172,Львівська,ЛЬВІВ,Львов,24.01783,49.84308,103.0,2022-02-26
175,Донецька,МАКІЇВКА,Макеевка,37.89425,48.0154,4.0,2022-02-26
179,Донецька,МАРІУПОЛЬ,Мариуполь,37.56449,47.10457,120.0,2022-02-26
181,Запорізька,МЕЛІТОПОЛЬ,Мелитополь,35.37563,46.84673,62.0,2022-02-26
187,Запорізька,МОЛОЧАНСЬК,Молочанск,35.5969,47.20671,4.0,2022-02-26
192,Львівська,МОСТИСЬКА,Мостиска,23.14837,49.79193,1.0,2022-02-26
197,Миколаївська,МИКОЛАЇВ,Николаев,32.04574,46.95883,30.0,2022-02-26
198,Дніпропетровська,НІКОПОЛЬ,Никополь,34.38343,47.58282,6.0,2022-02-26
202,Донецька,НОВОАЗОВСЬК,Новоазовск,38.08239,47.11367,1.0,2022-02-26
215,Одеська,ОДЕСА,Одесса,30.73065,46.46891,50.0,2022-02-26
232,Полтавська,ПОЛТАВА,Полтава,34.53741,49.57546,3.0,2022-02-26
236,Запорізька,ПРИМОРСЬК,Приморск,36.3541,46.72863,2.0,2022-02-26
247,Луганська,РОВЕНЬКИ,Ровеньки,39.36727,48.0899,13.0,2022-02-26
248,Рівненська,РІВНЕ,Ровно,26.25235,50.61916,4.0,2022-02-26
253,Луганська,РУБІЖНЕ,Рубежное,38.36941,49.00469,2.0,2022-02-26
263,м Севастополь,СЕВАСТОПОЛЬ,Севастополь,33.51482,44.58938,41.0,2022-02-26
279,Луганська,СТАРОБІЛЬСЬК,Старобельск,38.93074,49.2917,20.0,2022-02-26
280,Хмельницька,СТАРОКОСТЯНТИНІВ,Староконстантинов,27.22052,49.76154,1.0,2022-02-26
288,Сумська,СУМИ,Сумы,34.79851,50.90773,15.0,2022-02-26
290,Луганська,ЩАСТЯ,Счастье,39.24351,48.73621,18.0,2022-02-26
295,Тернопільська,ТЕРНОПІЛЬ,Тернополь,25.60244,49.5516,5.0,2022-02-26
297,Запорізька,ТОКМАК,Токмак,35.69544,47.25374,22.0,2022-02-26
309,Черкаська,УМАНЬ,Умань,30.19884,48.72454,1.0,2022-02-26
312,Харківська,ХАРКІВ,Харьков,36.22982,49.98934,236.0,2022-02-26
313,Херсонська,ХЕРСОН,Херсон,32.59231,46.65481,37.0,2022-02-26
315,Хмельницька,ХМЕЛЬНИЦЬКИЙ,Хмельницкий,26.97435,49.4165,1.0,2022-02-26
324,Львівська,ЧЕРВОНОГРАД,Червоноград,24.23344,50.3821,1.0,2022-02-26
325,Черкаська,ЧЕРКАСИ,Черкассы,32.02223,49.46594,4.0,2022-02-26
326,Чернігівська,ЧЕРНІГІВ,Чернигов,31.29009,51.49807,26.0,2022-02-26
331,Харківська,ЧУГУЇВ,Чугуев,36.68404,49.84308,1.0,2022-02-26
339,Запорізька,ЕНЕРГОДАР,Энергодар,34.655,47.49922,6.0,2022-02-26
0,Донецька,АВДІЇВКА,Авдеевка,37.72602,48.15445,2.0,2022-02-25
11,Крим,АРМЯНСЬК,Армянск,33.69335,46.10258,1.0,2022-02-25
12,Одеська,АРЦИЗ,Арциз,29.42637,45.98654,1.0,2022-02-25
13,Сумська,ОХТИРКА,Ахтырка,34.89773,50.30931,3.0,2022-02-25
28,Запорізька,БЕРДЯНСЬК,Бердянск,36.7987,46.76365,7.0,2022-02-25
57,Вінницька,ВІННИЦЯ,Винница,28.48463,49.23523,11.0,2022-02-25
61,Донецька,ВОЛНОВАХА,Волноваха,37.50234,47.59432,29.0,2022-02-25
63,Харківська,ВОВЧАНСЬК,Волчанск,36.9441,50.28751,2.0,2022-02-25
70,Херсонська,ГЕНІЧЕСЬК,Геническ,34.79061,46.16781,3.0,2022-02-25
76,Херсонська,ГОЛА ПРИСТАНЬ,Голая Пристань,32.55558,46.52504,1.0,2022-02-25
77,Донецька,ГОРЛІВКА,Горловка,38.04308,48.3534,95.0,2022-02-25
87,Донецька,ДЕБАЛЬЦЕВЕ,Дебальцево,38.4034,48.3213,1.0,2022-02-25
93,Донецька,ДОКУЧАЄВСЬК,Докучаевск,37.67589,47.78229,11.0,2022-02-25
95,Донецька,ДОНЕЦЬК,Донецк,37.86764,47.96648,125.0,2022-02-25
100,Донецька,ЄНАКІЄВЕ,Енакиево,38.21869,48.27204,1.0,2022-02-25
105,Житомирська,ЖИТОМИР,Житомир,28.65749,50.27447,6.0,2022-02-25
121,Івано-Франківська,ІВАНО-ФРАНКІВСЬК,Ивано-Франковск,24.70602,48.92074,6.0,2022-02-25
134,Херсонська,КАХОВКА,Каховка,33.50469,46.81274,1.0,2022-02-25
137,м.Київ,КИЇВ,Киев,30.5595,50.44029,1691.0,2022-02-25
144,Сумська,КОНОТОП,Конотоп,33.22008,51.24779,49.0,2022-02-25
147,Житомирська,КОРОСТЕНЬ,Коростень,28.64101,50.94807,2.0,2022-02-25
153,Донецька,КРАМАТОРСЬК,Краматорск,37.56603,48.72814,2.0,2022-02-25
165,Донецька,ЛИМАН,Лиман,36.86153,48.40971,1.0,2022-02-25
166,Луганська,ЛИСИЧАНСЬК,Лисичанск,38.36408,48.91165,1.0,2022-02-25
169,Луганська,ЛУГАНСЬК,Луганск,39.32041,48.55751,16.0,2022-02-25
171,Волинська,ЛУЦЬК,Луцк,25.31216,50.74293,2.0,2022-02-25
172,Львівська,ЛЬВІВ,Львов,24.01783,49.84308,39.0,2022-02-25
175,Донецька,МАКІЇВКА,Макеевка,37.89425,48.0154,11.0,2022-02-25
179,Донецька,МАРІУПОЛЬ,Мариуполь,37.56449,47.10457,80.0,2022-02-25
180,Донецька,МАР'ЇНКА,Марьинка,37.50406,47.94176,2.0,2022-02-25
181,Запорізька,МЕЛІТОПОЛЬ,Мелитополь,35.37563,46.84673,71.0,2022-02-25
184,Полтавська,МИРГОРОД,Миргород,33.60975,49.9653,8.0,2022-02-25
187,Запорізька,МОЛОЧАНСЬК,Молочанск,35.5969,47.20671,1.0,2022-02-25
194,Чернігівська,НІЖИН,Нежин,31.88799,51.04866,3.0,2022-02-25
197,Миколаївська,МИКОЛАЇВ,Николаев,32.04574,46.95883,59.0,2022-02-25
215,Одеська,ОДЕСА,Одесса,30.73065,46.46891,85.0,2022-02-25
221,Миколаївська,ПЕРВОМАЙСЬК,Первомайск,30.84618,48.04956,1.0,2022-02-25
232,Полтавська,ПОЛТАВА,Полтава,34.53741,49.57546,2.0,2022-02-25
233,Луганська,ПОПАСНА,Попасная,38.36632,48.63029,2.0,2022-02-25
235,Чернігівська,ПРИЛУКИ,Прилуки,32.3937,50.58414,1.0,2022-02-25
236,Запорізька,ПРИМОРСЬК,Приморск,36.3541,46.72863,2.0,2022-02-25
248,Рівненська,РІВНЕ,Ровно,26.25235,50.61916,27.0,2022-02-25
253,Луганська,РУБІЖНЕ,Рубежное,38.36941,49.00469,1.0,2022-02-25
259,Луганська,СВАТОВЕ,Сватово,38.15054,49.40843,1.0,2022-02-25
263,м Севастополь,СЕВАСТОПОЛЬ,Севастополь,33.51482,44.58938,5.0,2022-02-25
266,Сумська,СЕРЕДИНА-БУДА,Середина-Буда,34.02946,52.18952,1.0,2022-02-25
267,Крим,СІМФЕРОПОЛЬ,Симферополь,34.11014,44.95829,3.0,2022-02-25
279,Луганська,СТАРОБІЛЬСЬК,Старобельск,38.93074,49.2917,13.0,2022-02-25
280,Хмельницька,СТАРОКОСТЯНТИНІВ,Староконстантинов,27.22052,49.76154,17.0,2022-02-25
288,Сумська,СУМИ,Сумы,34.79851,50.90773,42.0,2022-02-25
290,Луганська,ЩАСТЯ,Счастье,39.24351,48.73621,4.0,2022-02-25
295,Тернопільська,ТЕРНОПІЛЬ,Тернополь,25.60244,49.5516,1.0,2022-02-25
312,Харківська,ХАРКІВ,Харьков,36.22982,49.98934,251.0,2022-02-25
313,Херсонська,ХЕРСОН,Херсон,32.59231,46.65481,136.0,2022-02-25
325,Черкаська,ЧЕРКАСИ,Черкассы,32.02223,49.46594,1.0,2022-02-25
326,Чернігівська,ЧЕРНІГІВ,Чернигов,31.29009,51.49807,90.0,2022-02-25
329,Закарпатська,ЧОП,Чоп,22.21762,48.42996,1.0,2022-02-25
331,Харківська,ЧУГУЇВ,Чугуев,36.68404,49.84308,2.0,2022-02-25
339,Запорізька,ЕНЕРГОДАР,Энергодар,34.655,47.49922,1.0,2022-02-25
340,Одеська,ЮЖНЕ,Южное,31.10109,46.62357,1.0,2022-02-25
344,Донецька,ЯСИНУВАТА,Ясиноватая,37.88584,48.11565,4.0,2022-02-25
0,Донецька,АВДІЇВКА,Авдеевка,37.72602,48.15445,10.0,2022-02-24
11,Крим,АРМЯНСЬК,Армянск,33.69335,46.10258,8.0,2022-02-24
13,Сумська,ОХТИРКА,Ахтырка,34.89773,50.30931,8.0,2022-02-24
17,Чернігівська,БАТУРИН,Батурин,32.89238,51.32744,3.0,2022-02-24
28,Запорізька,БЕРДЯНСЬК,Бердянск,36.7987,46.76365,21.0,2022-02-24
47,Сумська,БУРИНЬ,Бурынь,33.82742,51.19594,1.0,2022-02-24
57,Вінницька,ВІННИЦЯ,Винница,28.48463,49.23523,4.0,2022-02-24
61,Донецька,ВОЛНОВАХА,Волноваха,37.50234,47.59432,31.0,2022-02-24
63,Харківська,ВОВЧАНСЬК,Волчанск,36.9441,50.28751,3.0,2022-02-24
70,Херсонська,ГЕНІЧЕСЬК,Геническ,34.79061,46.16781,22.0,2022-02-24
74,Сумська,ГЛУХІВ,Глухов,33.9093,51.67831,4.0,2022-02-24
77,Донецька,ГОРЛІВКА,Горловка,38.04308,48.3534,37.0,2022-02-24
80,Черкаська,ГОРОДИЩЕ,Городище,31.44528,49.28947,20.0,2022-02-24
87,Донецька,ДЕБАЛЬЦЕВЕ,Дебальцево,38.4034,48.3213,3.0,2022-02-24
89,Харківська,ДЕРГАЧІ,Дергачи,36.12116,50.10795,1.0,2022-02-24
93,Донецька,ДОКУЧАЄВСЬК,Докучаевск,37.67589,47.78229,8.0,2022-02-24
95,Донецька,ДОНЕЦЬК,Донецк,37.86764,47.96648,122.0,2022-02-24
105,Житомирська,ЖИТОМИР,Житомир,28.65749,50.27447,10.0,2022-02-24
121,Івано-Франківська,ІВАНО-ФРАНКІВСЬК,Ивано-Франковск,24.70602,48.92074,63.0,2022-02-24
126,Донецька,ІЛОВАЙСЬК,Иловайск,38.19723,47.92631,2.0,2022-02-24
134,Херсонська,КАХОВКА,Каховка,33.50469,46.81274,2.0,2022-02-24
137,м.Київ,КИЇВ,Киев,30.5595,50.44029,1107.0,2022-02-24
144,Сумська,КОНОТОП,Конотоп,33.22008,51.24779,4.0,2022-02-24
153,Донецька,КРАМАТОРСЬК,Краматорск,37.56603,48.72814,62.0,2022-02-24
155,Харківська,КРАСНОГРАД,Красноград,35.44876,49.37324,1.0,2022-02-24
156,Крим,КРАСНОПЕРЕКОПСЬК,Красноперекопск,33.79377,45.95272,2.0,2022-02-24
159,Полтавська,КРЕМЕНЧУК,Кременчуг,33.42899,49.08949,1.0,2022-02-24
166,Луганська,ЛИСИЧАНСЬК,Лисичанск,38.36408,48.91165,1.0,2022-02-24
169,Луганська,ЛУГАНСЬК,Луганск,39.32041,48.55751,38.0,2022-02-24
171,Волинська,ЛУЦЬК,Луцк,25.31216,50.74293,37.0,2022-02-24
172,Львівська,ЛЬВІВ,Львов,24.01783,49.84308,57.0,2022-02-24
173,Волинська,ЛЮБОМЛЬ,Любомль,24.03225,51.22753,2.0,2022-02-24
175,Донецька,МАКІЇВКА,Макеевка,37.89425,48.0154,2.0,2022-02-24
178,Дніпропетровська,МАРГАНЕЦЬ,Марганец,34.63989,47.65835,6.0,2022-02-24
179,Донецька,МАРІУПОЛЬ,Мариуполь,37.56449,47.10457,205.0,2022-02-24
181,Запорізька,МЕЛІТОПОЛЬ,Мелитополь,35.37563,46.84673,39.0,2022-02-24
184,Полтавська,МИРГОРОД,Миргород,33.60975,49.9653,6.0,2022-02-24
194,Чернігівська,НІЖИН,Нежин,31.88799,51.04866,1.0,2022-02-24
196,Хмельницька,НЕТІШИН,Нетешин,26.6276,50.34656,1.0,2022-02-24
197,Миколаївська,МИКОЛАЇВ,Николаев,32.04574,46.95883,45.0,2022-02-24
202,Донецька,НОВОАЗОВСЬК,Новоазовск,38.08239,47.11367,1.0,2022-02-24
211,Миколаївська,НОВИЙ БУГ,Новый Буг,32.51146,47.69302,1.0,2022-02-24
