Region;Ukrainian Name;Russian Name;Longitude_WGS84;Latitude_WGS84
Донецька;ДОКУЧАЄВСЬК;Докучаевск;37.67589;47.78229
Кіровоградська;ДОЛИНСЬКА;Долинская;32.75917;48.11445
Донецька;ДОНЕЦЬК;Донецк;37.86764;47.96648
Львівська;ДРОГОБИЧ;Дрогобыч;23.51006;49.35316
Донецька;ДРУЖКІВКА;Дружковка;37.5456;48.62978
Рівненська;ДУБРОВИЦЯ;Дубровица;26.56614;51.57034
Крим;ЄВПАТОРІЯ;Евпатория;33.3708;45.20084
Донецька;ЄНАКІЄВЕ;Енакиево;38.21869;48.27204
Черкаська;ЖАШКІВ;Жашков;30.11164;49.24639
Донецька;ЖДАНІВКА;Ждановка;38.25594;48.15393
Дніпропетровська;ЖОВТІ ВОДИ;ЖёлтыеВоды;33.52341;48.35958
Львівська;ЖИДАЧІВ;Жидачов;24.14194;49.38303
Житомирська;ЖИТОМИР;Житомир;28.65749;50.27447
Вінницька;ЖМЕРИНКА;Жмеринка;28.11659;49.0325
Львівська;ЖОВКВА;Жолква;23.97303;50.05646
Чернівецька;ЗАСТАВНА;Заставна;25.84791;48.52198
Тернопільська;ЗБАРАЖ;Збараж;25.77976;49.66249
Тернопільська;ЗБОРІВ;Зборов;25.14273;49.66335
Черкаська;ЗВЕНИГОРОДКА;Звенигородка;30.96634;49.0749
Рівненська;ЗДОЛБУНІВ;Здолбунов;26.25509;50.52904
Дніпропетровська;ЗЕЛЕНОДОЛЬСЬК;Зеленодольск;33.65593;47.56119
Полтавська;ЗІНЬКІВ;Зеньков;34.35768;50.21026
Харківська;ЗМІЇВ;Змиёв;36.35462;49.68086
Луганська;ЗОЛОТЕ;Золотое;38.51875;48.70205
Черкаська;ЗОЛОТОНОША;Золотоноша;32.04214;49.66902
Львівська;ЗОЛОЧІВ;Золочев;24.89382;49.79433
Луганська;ЗОРИНСЬК;Зоринск;38.61866;48.41726
Донецька;ЗУГРЕС;Зугрэс;38.27808;48.01008
Івано-Франківська;ІВАНО-ФРАНКІВСЬК;Ивано-Франковск;24.70602;48.92074
Одеська;ІЗМАЇЛ;Измаил;28.83551;45.3471
Харківська;ІЗЮМ;Изюм;37.26768;49.19128
Хмельницька;ІЗЯСЛАВ;Изяслав;26.82158;50.11791
Вінницька;ІЛЛІНЦІ;Ильинцы;29.20784;49.10837
Донецька;ІЛОВАЙСЬК;Иловайск;38.19723;47.92631
м Севастополь;ІНКЕРМАН;Инкерманукрнкерман;33.60735;44.61531
Закарпатська;ІРШАВА;Иршава;23.04108;48.31255
Чернігівська;ІЧНЯ;Ичня;32.39044;50.86155
Івано-Франківська;КАЛУШ;Калуш;24.36562;49.02048
Волинська;КАМІНЬ-КАШИРСЬКИЙ;Камень-Каширский;24.963;51.62527
Черкаська;КАНІВ;Канев;31.46124;49.75468
Полтавська;КАРЛІВКА;Карловка;35.13685;49.4541
Херсонська;КАХОВКА;Каховка;33.50469;46.81274
Крим;КЕРЧ;Керчь;36.46757;45.3562
Волинська;КІВЕРЦІ;Киверцы;25.4488;50.84301
м.Київ;КИЇВ;Киев;30.5595;50.44029
Одеська;КІЛІЯ;Килия;29.25728;45.46228
Чернівецька;КІЦМАНЬ;Кицмань;25.76071;48.44284
Волинська;КОВЕЛЬ;Ковель;24.69469;51.21843
Одеська;КОДИМА;Кодыма;29.11051;48.09162
Івано-Франківська;КОЛОМИЯ;Коломыя;25.03733;48.52489
Львівська;КОМАРНО;Комарно;23.69631;49.6273
Сумська;КОНОТОП;Конотоп;33.22008;51.24779
Тернопільська;КОПИЧИНЦІ;Копычинцы;25.90834;49.10528
Рівненська;КОРЕЦЬ;Корец;27.16284;50.61899
Житомирська;КОРОСТЕНЬ;Коростень;28.64101;50.94807
Житомирська;КОРОСТИШІВ;Коростышев;29.05884;50.31326
Черкаська;КОРСУНЬ-ШЕВЧЕНКІВСЬКИЙ;Корсунь-Шевченковский;31.25628;49.41582
Чернігівська;КОРЮКІВКА;Корюковка;32.2514;51.77462
Івано-Франківська;КОСІВ;Косов;25.1005;48.32079
Рівненська;КОСТОПІЛЬ;Костополь;26.45474;50.87923
Донецька;КРАМАТОРСЬК;Краматорск;37.56603;48.72814
Хмельницька;КРАСИЛІВ;Красилов;26.96938;49.65322
Харківська;КРАСНОГРАД;Красноград;35.44876;49.37324
Крим;КРАСНОПЕРЕКОПСЬК;Красноперекопск;33.79377;45.95272
Тернопільська;КРЕМЕНЕЦЬ;Кременец;25.72929;50.09354
Луганська;КРЕМІННА;Кременная;38.22521;49.05361
Полтавська;КРЕМЕНЧУК;Кременчуг;33.42899;49.08949
Дніпропетровська;КРИВИЙ РІГ;КривойРог;33.39346;47.88803
Сумська;КРОЛЕВЕЦЬ;Кролевец;33.38796;51.55472
Донецька;КУРАХОВЕ;Курахово;37.27558;47.98862
Вінницька;ЛАДИЖИН;Ладыжин;29.26088;48.68145
Сумська;ЛЕБЕДИН;Лебедин;34.47321;50.58157
Донецька;ЛИМАН;Лиман;36.86153;48.40971
Луганська;ЛИСИЧАНСЬК;Лисичанск;38.36408;48.91165
Полтавська;ЛОХВИЦЯ;Лохвица;33.27192;50.35927
Полтавська;ЛУБНИ;Лубны;33.00053;50.01182
Луганська;ЛУГАНСЬК;Луганск;39.32041;48.55751
Луганська;ЛУТУГИНЕ;Лутугино;39.20797;48.40267
Волинська;ЛУЦЬК;Луцк;25.31216;50.74293
Львівська;ЛЬВІВ;Львов;24.01783;49.84308
Волинська;ЛЮБОМЛЬ;Любомль;24.03225;51.22753
Харківська;ЛЮБОТИН;Люботин;35.91173;49.97492
Донецька;МАКІЇВКА;Макеевка;37.89425;48.0154
Кіровоградська;МАЛА ВИСКА;МалаяВиска;31.63582;48.63905
Житомирська;МАЛИН;Малин;29.242;50.76902
Дніпропетровська;МАРГАНЕЦЬ;Марганец;34.63989;47.65835
Донецька;МАРІУПОЛЬ;Мариуполь;37.56449;47.10457
Донецька;МАР'ЇНКА;Марьинка;37.50406;47.94176
Запорізька;МЕЛІТОПОЛЬ;Мелитополь;35.37563;46.84673
Чернігівська;МЕНА;Мена;32.2162;51.52262
Харківська;МЕРЕФА;Мерефа;36.06296;49.81802
Полтавська;МИРГОРОД;Миргород;33.60975;49.9653
Вінницька;МОГИЛІВ-ПОДІЛЬСЬКИЙ;Могилёв-Подольский;27.80331;48.44919
Луганська;МОЛОДОГВАРДІЙСЬК;Молодогвардейск;39.65017;48.34259
Запорізька;МОЛОЧАНСЬК;Молочанск;35.5969;47.20671
Тернопільська;МОНАСТИРИСЬКА;Монастыриска;25.17483;49.09344
Черкаська;МОНАСТИРИЩЕ;Монастырище;29.82599;48.98975
Львівська;МОРШИН;Моршин;23.87055;49.15455
Донецька;МОСПИНЕ;Моспино;38.07827;47.87979
Львівська;МОСТИСЬКА;Мостиска;23.14837;49.79193
Івано-Франківська;НАДВІРНА;Надворная;24.56749;48.63407
Чернігівська;НІЖИН;Нежин;31.88799;51.04866
Вінницька;НЕМИРІВ;Немиров;28.84289;48.97722
Хмельницька;НЕТІШИН;Нетешин;26.6276;50.34656
Миколаївська;МИКОЛАЇВ;Николаев;32.04574;46.95883
Дніпропетровська;НІКОПОЛЬ;Никополь;34.38343;47.58282
Херсонська;НОВА КАХОВКА;НоваяКаховка;33.34333;46.75163
Миколаївська;НОВА ОДЕСА;НоваяОдесса;31.78431;47.30095
Чернігівська;НОВГОРОД-СІВЕРСЬКИЙ;Новгород-Северский;33.27793;52.00413
Донецька;НОВОАЗОВСЬК;Новоазовск;38.08239;47.11367
Волинська;НОВОВОЛИНСЬК;Нововолынск;24.15379;50.7383
Житомирська;НОВОГРАД-ВОЛИНСЬКИЙ;Новоград-Волынский;27.62426;50.5874
Донецька;НОВОГРОДІВКА;Новогродовка;37.33738;48.19977
Чернівецька;НОВОДНІСТРОВСЬК;Новоднестровск;27.44282;48.57897
Луганська;НОВОДРУЖЕСЬК;Новодружеск;38.35842;48.95405
Кіровоградська;НОВОМИРГОРОД;Новомиргород;31.65024;48.79389
Дніпропетровська;НОВОМОСКОВСЬК;Новомосковск;35.25839;48.63613
Кіровоградська;НОВОУКРАЇНКА;Новоукраинка;31.52252;48.32268
Миколаївська;НОВИЙ БУГ;Новый Буг;32.51146;47.69302
Львівська;НОВИЙ РОЗДІЛ;Новый Роздол;24.12615;49.47195
Чернігівська;НОСІВКА;Носовка;31.56733;50.93605
Житомирська;ОВРУЧ;Овруч;28.79534;51.31319
Одеська;ОДЕСА;Одесса;30.73065;46.46891
Житомирська;ОЛЕВСЬК;Олевск;27.64984;51.22221
Запорізька;ОРІХІВ;Орехов;35.77492;47.56222
Чернігівська;ОСТЕР;Остёр;30.88017;50.9539
Рівненська;ОСТРОГ;Острог;26.52117;50.32888
Дніпропетровська;ПАВЛОГРАД;Павлоград;35.86933;48.52352
Миколаївська;ПЕРВОМАЙСЬК;Первомайск;30.84618;48.04956
Харківська;ПЕРВОМАЙСЬКИЙ;Первомайский;36.22124;49.37376
Луганська;ПЕРЕВАЛЬСЬК;Перевальск;38.79976;48.44009
Львівська;ПЕРЕМИШЛЯНИ;Перемышляны;24.55856;49.66816
Закарпатська;ПЕРЕЧИН;Перечин;22.48884;48.73741
Дніпропетровська;ПЕРЕЩЕПИНЕ;Перещепино;35.35915;49.01825
Дніпропетровська;ПЕРШОТРАВЕНСЬК;Першотравенск;36.40337;48.3498
Полтавська;ПИРЯТИН;Пирятин;32.50957;50.24443
Вінницька;ПОГРЕБИЩЕ;Погребище;29.25848;49.48517
Дніпропетровська;ПІДГОРОДНЕ;Подгородное;35.10544;48.57262
Хмельницька;ПОЛОННЕ;Полонное;27.5029;50.12117
Полтавська;ПОЛТАВА;Полтава;34.53741;49.57546
Луганська;ПОПАСНА;Попасная;38.36632;48.63029
Тернопільська;ПОЧАЇВ;Почаев;25.5094;50.00479
Чернігівська;ПРИЛУКИ;Прилуки;32.3937;50.58414
Запорізька;ПРИМОРСЬК;Приморск;36.3541;46.72863
Львівська;ПУСТОМИТИ;Пустомыты;23.90677;49.72103
Сумська;ПУТИВЛЬ;Путивль;33.86467;51.33379
Львівська;РАВА-РУСЬКА;Рава-Русская;23.62129;50.23292
Львівська;РАДЕХІВ;Радехов;24.64285;50.27962
Рівненська;РАДИВИЛІВ;Радивилов;25.25019;50.13061
Житомирська;РАДОМИШЛЬ;Радомышль;29.24612;50.50381
Одеська;РОЗДІЛЬНА;Раздельная;30.0507;46.85377
Закарпатська;РАХІВ;Рахов;24.20357;48.05574
Одеська;РЕНІ;Рени;28.28619;45.46074
Полтавська;РЕШЕТИЛІВКА;Решетиловка;34.07993;49.56482
Луганська;РОВЕНЬКИ;Ровеньки;39.36727;48.0899
Рівненська;РІВНЕ;Ровно;26.25235;50.61916
Івано-Франківська;РОГАТИН;Рогатин;24.60955;49.41049
Донецька;РОДИНСЬКЕ;Родинское;37.19799;48.34465
Волинська;РОЖИЩЕ;Рожище;25.27165;50.91648
Сумська;РОМНИ;Ромны;33.47122;50.74894
Луганська;РУБІЖНЕ;Рубежное;38.36941;49.00469
Львівська;РУДКИ;Рудки;23.48637;49.65322
Крим;САКИ;Саки;33.60889;45.13458
Львівська;САМБІР;Самбор;23.20227;49.51658
Рівненська;САРНИ;Сарны;26.62279;51.31782
Закарпатська;СВАЛЯВА;Свалява;22.99027;48.54618
Луганська;СВАТОВЕ;Сватово;38.15054;49.40843
Кіровоградська;СВІТЛОВОДСЬК;Светловодск;33.20738;49.04554
Донецька;СВІТЛОДАРСЬК;Светлодарск;38.22315;48.43752
Донецька;СВЯТОГІРСЬК;Святогорск;37.55779;49.03438
м Севастополь;СЕВАСТОПОЛЬ;Севастополь;33.51482;44.58938
Донецька;СІВЕРСЬК;Северск;38.1011;48.85809
Донецька;СЕЛИДОВЕ;Селидово;37.30116;48.1426
Сумська;СЕРЕДИНА-БУДА;Середина-Буда;34.02946;52.18952
Крим;СІМФЕРОПОЛЬ;Симферополь;34.11014;44.95829
Дніпропетровська;СИНЕЛЬНИКОВЕ;Синельниково;35.52893;48.31959
Херсонська;СКАДОВСЬК;Скадовск;32.9104;46.1206
Тернопільська;СКАЛАТ;Скалат;25.97683;49.42543
Львівська;СКОЛЕ;Сколе;23.62867;48.99319
Черкаська;СМІЛА;Смела;31.85143;49.22768
Донецька;СНІЖНЕ;Снежное;38.75152;48.04888
Миколаївська;СНІГУРІВКА;Снигирёвка;32.81668;47.08723
Івано-Франківська;СНЯТИН;Снятын;25.54562;48.45571
Львівська;СОКАЛЬ;Сокаль;24.27876;50.47892
Чернівецька;СОКИРЯНИ;Сокиряны;27.40814;48.44456
Донецька;СОЛЕДАР;Соледар;38.11483;48.67287
Луганська;СТАРОБІЛЬСЬК;Старобельск;38.93074;49.2917
Хмельницька;СТАРОКОСТЯНТИНІВ;Староконстантинов;27.22052;49.76154
Крим;СТАРИЙ КРИМ;СтарыйКрым;35.0687;45.02403
Львівська;СТАРИЙ САМБІР;СтарыйСамбор;23.00434;49.44912
Львівська;СТЕБНИК;Стебник;23.51847;49.31574
Чернівецька;СТОРОЖИНЕЦЬ;Сторожинец;25.72243;48.16114
Львівська;СТРИЙ;Стрый;23.84771;49.25634
Крим;СУДАК;Судак;34.97412;44.84962
Львівська;СУДОВА ВИШНЯ;СудоваяВишня;23.3741;49.78729
Сумська;СУМИ;Сумы;34.79851;50.90773
Луганська;СУХОДІЛЬСЬК;Суходольск;39.72433;48.35272
Луганська;ЩАСТЯ;Счастье;39.24351;48.73621
Херсонська;ТАВРІЙСЬК;Таврийск;33.41028;46.74888
Черкаська;ТАЛЬНЕ;Тальное;30.68911;48.88967
Одеська;ТАТАРБУНАРИ;Татарбунары;29.61416;45.84097
Тернопільська;ТЕРЕБОВЛЯ;Теребовля;25.68895;49.30063
Тернопільська;ТЕРНОПІЛЬ;Тернополь;25.60244;49.5516
Івано-Франківська;ТЛУМАЧ;Тлумач;25.00076;48.8665
Запорізька;ТОКМАК;Токмак;35.69544;47.25374
Сумська;ТРОСТЯНЕЦЬ;Тростянец;34.96588;50.48647
Львівська;ТРУСКАВЕЦЬ;Трускавец;23.51194;49.27677
Вінницька;ТУЛЬЧИН;Тульчин;28.87499;48.67441
Львівська;ТУРКА;Турка;23.04949;49.15712
Івано-Франківська;ТИСМЕНИЦЯ;Тысменица;24.84678;48.90341
Закарпатська;ТЯЧІВ;Тячев;23.57838;48.01163
Донецька;ВУГЛЕГІРСЬК;Углегорск;38.26092;48.31203
Донецька;ВУГЛЕДАР;Угледар;37.24777;47.77954
Львівська;УГНІВ;Угнев;23.74849;50.36665
Закарпатська;УЖГОРОД;Ужгород;22.2971;48.6212
Донецька;УКРАЇНСЬК;Украинск;37.35866;48.09454
Черкаська;УМАНЬ;Умань;30.19884;48.72454
Волинська;УСТИЛУГ;Устилуг;24.15876;50.86292
Крим;ФЕОДОСІЯ;Феодосия;35.38164;45.03193
Харківська;ХАРКІВ;Харьков;36.22982;49.98934
Херсонська;ХЕРСОН;Херсон;32.59231;46.65481
Вінницька;ХМІЛЬНИК;Хмельник;27.9542;49.55915
Хмельницька;ХМЕЛЬНИЦЬКИЙ;Хмельницкий;26.97435;49.4165
Львівська;ХОДОРІВ;Ходоров;24.3136;49.40706
Полтавська;ХОРОЛ;Хорол;33.29012;49.7842
Тернопільська;ХОРОСТКІВ;Хоростков;25.91829;49.21394
Чернівецька;ХОТИН;Хотин;26.4913;48.50447
Луганська;ХРУСТАЛЬНИЙ;Хрустальный;38.8571;48.14999
Закарпатська;ХУСТ;Хуст;23.29067;48.17814
Львівська;ХИРІВ;Хыров;22.85242;49.53564
Донецька;ЧАСІВ ЯР;ЧасовЯр;37.86541;48.5915
Львівська;ЧЕРВОНОГРАД;Червоноград;24.23344;50.3821
Черкаська;ЧЕРКАСИ;Черкассы;32.02223;49.46594
Чернігівська;ЧЕРНІГІВ;Чернигов;31.29009;51.49807
Чернівецька;ЧЕРНІВЦІ;Черновцы;25.937;48.29487
Черкаська;ЧИГИРИН;Чигирин;32.66716;49.07627
Закарпатська;ЧОП;Чоп;22.21762;48.42996
Тернопільська;ЧОРТКІВ;Чортков;25.79659;49.00537
Харківська;ЧУГУЇВ;Чугуев;36.68404;49.84308
Житомирська;ЧУДНІВ;Чуднов;28.11556;50.05234
Вінницька;ШАРГОРОД;Шаргород;28.08312;48.73861
Донецька;ШАХТАРСЬК;Шахтёрск;38.45129;48.0451
Хмельницька;ШЕПЕТІВКА;Шепетовка;27.05607;50.16769
Сумська;ШОСТКА;Шостка;33.47277;51.86491
Черкаська;ШПОЛА;Шпола;31.39412;49.01327
Тернопільська;ШУМСЬК;Шумск;26.1145;50.12375
Запорізька;ЕНЕРГОДАР;Энергодар;34.655;47.49922
Одеська;ЮЖНЕ;Южное;31.10109;46.62357
Миколаївська;ЮЖНОУКРАЇНСЬК;Южноукраинск;31.17045;47.8264
Крим;ЯЛТА;Ялта;34.15426;44.49291
Вінницька;ЯМПІЛЬ;Ямполь;28.29186;48.24903
Донецька;ЯСИНУВАТА;Ясиноватая;37.88584;48.11565
